,BuildingType,PrimaryPropertyType,ZipCode,TaxParcelIdentificationNumber,CouncilDistrictCode,Neighborhood,Latitude,Longitude,NumberofBuildings,NumberofFloors,PropertyGFATotal,LargestPropertyUseType,ENERGYSTARScore,SiteEnergyUse(kBtu),TotalGHGEmissions,Age,prop_GFAParking,prop_Use1,prop_Use2,prop_Use3
1120,SPS-District K-12,K-12 School,98109.0,1689400145,7,MAGNOLIA / QUEEN ANNE,47.63796,-122.34897,1.0,1,48789,K-12 School,94.0,1298307.625,29.41,91,0.0,0.0,0.0,0.0
1123,NonResidential,Senior Care Community,98118.0,1704900435,2,SOUTHEAST,47.55387,-122.27875,1.0,2,48882,Senior Care Community,51.0,6782435.0,235.26,50,0.14796857739045047,0.0,0.0,0.0
1124,NonResidential,Warehouse,98108.0,1722800145,2,GREATER DUWAMISH,47.55374,-122.32498,1.0,1,22320,Non-Refrigerated Warehouse,62.0,439065.9063,3.06,39,0.0,0.0,0.0,0.0
1125,NonResidential,Other,98108.0,1722800223,2,GREATER DUWAMISH,47.55297,-122.32472,1.0,1,47105,Manufacturing/Industrial Plant,,10234721.0,348.22,40,0.0,0.0,0.0,0.0
1126,NonResidential,Small- and Mid-Sized Office,98108.0,1722800285,2,GREATER DUWAMISH,47.55316,-122.32616,1.0,2,40029,Office,69.0,1471914.25,10.26,34,0.0,0.0,0.0,0.0
1127,NonResidential,Small- and Mid-Sized Office,98108.0,1722800585,2,GREATER DUWAMISH,47.55196,-122.32518,1.0,2,28304,Office,67.0,1269367.5,8.85,46,0.0,0.0,0.0,0.0
1128,NonResidential,Other,98108.0,1722800620,2,GREATER DUWAMISH,47.55168,-122.32459,1.0,1,26400,Other - Recreation,,452612.5,3.16,46,0.0,0.0,0.0,0.0
1129,NonResidential,Warehouse,98108.0,1722800985,2,GREATER DUWAMISH,47.55049,-122.32382,1.0,1,27680,Non-Refrigerated Warehouse,,1778431.75,64.81,48,0.0,0.0,0.0,0.0
1130,NonResidential,Small- and Mid-Sized Office,98108.0,1722801079,2,GREATER DUWAMISH,47.55145,-122.32635,1.0,2,25872,Office,,1787119.0,45.79,47,0.0,0.0,0.0,0.0
1131,NonResidential,Small- and Mid-Sized Office,98108.0,1722801080,2,GREATER DUWAMISH,47.55127,-122.32576,1.0,2,25872,Office,41.0,2399353.5,81.96,47,0.0,0.0,0.0,0.0
1132,NonResidential,Warehouse,98108.0,1722801081,2,GREATER DUWAMISH,47.55127,-122.32576,1.0,1,20500,Non-Refrigerated Warehouse,65.0,222600.0938,1.55,47,0.0,0.0,0.0,0.0
1133,NonResidential,Small- and Mid-Sized Office,98103.0,1931300585,4,LAKE UNION,47.6557,-122.34682,1.0,2,21436,Office,95.0,534703.6875,3.73,58,0.0,0.0,0.0,0.0
